NACA2212
Total points=100
Number                  xu                  yu                  xl                  yl

  1---                   0                   0                   0                   0
  2---        3.102634e-03        1.371070e-02        8.008477e-03       -1.151934e-02
  3---        7.786561e-03        1.976105e-02        1.443566e-02       -1.544007e-02
  4---        1.275717e-02        2.451900e-02        2.057617e-02       -1.813011e-02
  5---        1.788608e-02        2.858832e-02        2.655836e-02       -2.019326e-02
  6---        2.312212e-02        3.220262e-02        3.243344e-02       -2.186311e-02
  7---        2.843825e-02        3.548159e-02        3.822841e-02       -2.325937e-02
  8---        3.381797e-02        3.849626e-02        4.395981e-02       -2.445305e-02
  9---        3.925019e-02        4.129288e-02        4.963870e-02       -2.549041e-02
 10---        4.472696e-02        4.390357e-02        5.527304e-02       -2.640357e-02
 11---        5.579167e-02        4.865490e-02        6.643055e-02       -2.794503e-02
 12---        7.044497e-02        5.408680e-02        8.084571e-02       -2.955088e-02
 13---        8.525812e-02        5.878341e-02        9.510103e-02       -3.084393e-02
 14---        1.001982e-01        6.284970e-02        1.092294e-01       -3.192916e-02
 15---        1.152414e-01        6.635557e-02        1.232546e-01       -3.287645e-02
 16---        1.303692e-01        6.935056e-02        1.371953e-01       -3.373535e-02
 17---        1.455666e-01        7.187154e-02        1.510664e-01       -3.454272e-02
 18---        1.608210e-01        7.394700e-02        1.648805e-01       -3.532707e-02
 19---        1.761218e-01        7.559969e-02        1.786481e-01       -3.611113e-02
 20---        1.914595e-01        7.684822e-02        1.923788e-01       -3.691352e-02
 21---        2.030412e-01        7.754446e-02        2.030194e-01       -3.754504e-02
 22---        2.131661e-01        7.806199e-02        2.130709e-01       -3.807274e-02
 23---        2.232916e-01        7.850284e-02        2.231219e-01       -3.853650e-02
 24---        2.334176e-01        7.887082e-02        2.331724e-01       -3.894011e-02
 25---        2.435438e-01        7.916940e-02        2.432226e-01       -3.928704e-02
 26---        2.536702e-01        7.940175e-02        2.532726e-01       -3.958045e-02
 27---        2.637968e-01        7.957075e-02        2.633225e-01       -3.982324e-02
 28---        2.739234e-01        7.967910e-02        2.733724e-01       -4.001810e-02
 29---        2.840498e-01        7.972926e-02        2.834224e-01       -4.016749e-02
 30---        2.941762e-01        7.972354e-02        2.934725e-01       -4.027373e-02
 31---        3.043022e-01        7.966408e-02        3.035229e-01       -4.033894e-02
 32---        3.144280e-01        7.955287e-02        3.135736e-01       -4.036514e-02
 33---        3.245533e-01        7.939180e-02        3.236246e-01       -4.035418e-02
 34---        3.346782e-01        7.918262e-02        3.336762e-01       -4.030784e-02
 35---        3.448026e-01        7.892697e-02        3.437283e-01       -4.022775e-02
 36---        3.549264e-01        7.862642e-02        3.537809e-01       -4.011549e-02
 37---        3.650496e-01        7.828243e-02        3.638342e-01       -3.997250e-02
 38---        3.751720e-01        7.789640e-02        3.738882e-01       -3.980020e-02
 39---        3.852937e-01        7.746963e-02        3.839429e-01       -3.959988e-02
 40---        3.954147e-01        7.700337e-02        3.939985e-01       -3.937279e-02
 41---        4.055347e-01        7.649880e-02        4.040548e-01       -3.912011e-02
 42---        4.156539e-01        7.595704e-02        4.141121e-01       -3.884296e-02
 43---        4.257721e-01        7.537914e-02        4.241703e-01       -3.854240e-02
 44---        4.358894e-01        7.476613e-02        4.342295e-01       -3.821944e-02
 45---        4.460057e-01        7.411895e-02        4.442897e-01       -3.787504e-02
 46---        4.561208e-01        7.343852e-02        4.543510e-01       -3.751011e-02
 47---        4.662349e-01        7.272571e-02        4.644133e-01       -3.712552e-02
 48---        4.763479e-01        7.198135e-02        4.744768e-01       -3.672210e-02
 49---        4.864597e-01        7.120621e-02        4.845414e-01       -3.630062e-02
 50---        4.965704e-01        7.040104e-02        4.946072e-01       -3.586183e-02
 51---        5.066798e-01        6.956655e-02        5.046743e-01       -3.540645e-02
 52---        5.167879e-01        6.870341e-02        5.147426e-01       -3.493514e-02
 53---        5.268948e-01        6.781226e-02        5.248122e-01       -3.444854e-02
 54---        5.370003e-01        6.689370e-02        5.348830e-01       -3.394726e-02
 55---        5.471046e-01        6.594832e-02        5.449553e-01       -3.343186e-02
 56---        5.572074e-01        6.497664e-02        5.550289e-01       -3.290290e-02
 57---        5.673089e-01        6.397919e-02        5.651039e-01       -3.236088e-02
 58---        5.774089e-01        6.295645e-02        5.751803e-01       -3.180630e-02
 59---        5.875075e-01        6.190886e-02        5.852581e-01       -3.123959e-02
 60---        5.976047e-01        6.083687e-02        5.953374e-01       -3.066120e-02
 61---        6.077003e-01        5.974087e-02        6.054182e-01       -3.007153e-02
 62---        6.177945e-01        5.862124e-02        6.155005e-01       -2.947094e-02
 63---        6.278871e-01        5.747833e-02        6.255844e-01       -2.885979e-02
 64---        6.379781e-01        5.631247e-02        6.356698e-01       -2.823841e-02
 65---        6.480676e-01        5.512394e-02        6.457567e-01       -2.760710e-02
 66---        6.581554e-01        5.391305e-02        6.558453e-01       -2.696613e-02
 67---        6.682417e-01        5.268002e-02        6.659355e-01       -2.631576e-02
 68---        6.783263e-01        5.142511e-02        6.760274e-01       -2.565622e-02
 69---        6.884092e-01        5.014851e-02        6.861210e-01       -2.498771e-02
 70---        6.984904e-01        4.885042e-02        6.962162e-01       -2.431043e-02
 71---        7.085699e-01        4.753099e-02        7.063132e-01       -2.362454e-02
 72---        7.186476e-01        4.619037e-02        7.164119e-01       -2.293018e-02
 73---        7.287236e-01        4.482868e-02        7.265123e-01       -2.222747e-02
 74---        7.387978e-01        4.344602e-02        7.366146e-01       -2.151652e-02
 75---        7.488701e-01        4.204248e-02        7.467187e-01       -2.079740e-02
 76---        7.589407e-01        4.061811e-02        7.568246e-01       -2.007017e-02
 77---        7.690093e-01        3.917295e-02        7.669324e-01       -1.933488e-02
 78---        7.790761e-01        3.770702e-02        7.770421e-01       -1.859154e-02
 79---        7.891409e-01        3.622032e-02        7.871537e-01       -1.784015e-02
 80---        7.992038e-01        3.471283e-02        7.972672e-01       -1.708069e-02
 81---        8.092647e-01        3.318451e-02        8.073828e-01       -1.631312e-02
 82---        8.193236e-01        3.163530e-02        8.175003e-01       -1.553739e-02
 83---        8.293805e-01        3.006513e-02        8.276199e-01       -1.475341e-02
 84---        8.394352e-01        2.847390e-02        8.377416e-01       -1.396110e-02
 85---        8.494879e-01        2.686149e-02        8.478654e-01       -1.316033e-02
 86---        8.595385e-01        2.522777e-02        8.579913e-01       -1.235097e-02
 87---        8.695869e-01        2.357259e-02        8.681193e-01       -1.153287e-02
 88---        8.796330e-01        2.189577e-02        8.782496e-01       -1.070586e-02
 89---        8.896769e-01        2.019714e-02        8.883821e-01       -9.869744e-03
 90---        8.997186e-01        1.847647e-02        8.985169e-01       -9.024325e-03
 91---        9.097579e-01        1.673355e-02        9.086541e-01       -8.169374e-03
 92---        9.197949e-01        1.496814e-02        9.187936e-01       -7.304648e-03
 93---        9.298294e-01        1.317997e-02        9.289355e-01       -6.429887e-03
 94---        9.398615e-01        1.136876e-02        9.390798e-01       -5.544813e-03
 95---        9.498911e-01        9.534222e-03        9.492267e-01       -4.649129e-03
 96---        9.599182e-01        7.676041e-03        9.593760e-01       -3.742523e-03
 97---        9.699426e-01        5.793884e-03        9.695280e-01       -2.824664e-03
 98---        9.799645e-01        3.887405e-03        9.796826e-01       -1.895203e-03
 99---        9.899836e-01        1.956238e-03        9.898399e-01       -9.537763e-04
100---                   1                   0                   1                   0
